"Integracao","Data_Integr","Objeto","Categoria","Qtd_Erros","Chave","Qtd_Chaves","Lst_Chaves"
"TASY_SFDC","2022-04-05 11:05:00","SOLICITACAO","Conta Inexistente no SFDC",1,"Account.HealthCloudGA__SourceSystemId__c",1,""
"TASY_SFDC","2022-04-19 09:02:00","ENCAMINHAMENTO","Atendimento inexistente no SFDC",4,"Numero_Atendimento__r.HealthCloudGA__SourceSystemId__c",3,"462333raw_oracle_goc|510515raw_oracle_goc|510753raw_oracle_goc"
"TASY_SFDC","2022-04-19 09:02:00","SOLICITACAO","Atendimento inexistente no SFDC",61,"Numero_Atendimento__r.HealthCloudGA__SourceSystemId__c",33,"425354raw_oracle_goc|509526raw_oracle_goc|509593raw_oracle_goc|510039raw_oracle_goc|510603raw_oracle_goc|510973raw_oracle_goc|510922raw_oracle_goc|510939raw_oracle_goc|510842raw_oracle_goc|511202raw_oracle_goc|511400raw_oracle_goc|511436raw_oracle_goc|511729raw_oracle_goc|511513raw_oracle_goc|511504raw_oracle_goc|511884raw_oracle_goc|512048raw_oracle_goc|511868raw_oracle_goc|512027raw_oracle_goc|512215raw_oracle_goc|511893raw_oracle_goc|512493raw_oracle_goc|512721raw_oracle_goc|512483raw_oracle_goc|512635raw_oracle_goc|512843raw_oracle_goc|512581raw_oracle_goc|512609raw_oracle_goc|512418raw_oracle_goc|512667raw_oracle_goc|512557raw_oracle_goc|513092raw_oracle_goc|512992raw_oracle_goc"
"TASY_SFDC","2022-04-19 09:02:00","SOLICITACAO","CRM_UF inexistente no SFDC",4,"Contact.CRM_UF__c",1,"783862DF"
"TASY_SFDC","2022-04-19 09:02:00","SOLICITACAO","FIELD_FILTER_VALIDATION_EXCEPTION no SFDC",7,"Error Message",1,"Erro recebido de salesforce.com. Campos []. Código de status [CANNOT_EXECUTE_FLOW_TRIGGER]. Mensagem [Não é possível salvar esse registro porque o processo ""Builder para objeto Caso"" falhou. Forneça ao seu administrador do Salesforce estes detalhes. Esse erro ocorreu quando o fluxo tentou atualizar registros: FIELD_FILTER_VALIDATION_EXCEPTION: O valor não existe ou não é compatível com os critérios do filtro.. Você pode consultar valores de ExceptionCode no Guia do desenvolvedor de API SOAP. ID do erro: 1991406095-35830 (-1937175102)s de ExceptionCode no Guia do desenvolvedor de API SOAP. ID do erro: 1991406095-35830 (-1937175102)]."""
"TASY_SFDC","2022-04-26 09:01:00","SOLICITACAO","Atendimento inexistente no SFDC",4,"Numero_Atendimento__r.HealthCloudGA__SourceSystemId__c",2,"425354raw_oracle_goc|513702raw_oracle_goc"
"TASY_SFDC","2022-04-26 09:01:00","SOLICITACAO","CRM_UF inexistente no SFDC",4,"Contact.CRM_UF__c",1,"783862DF"
"TASY_SFDC","2022-04-26 09:01:00","SOLICITACAO","DUPLICATE_VALUE no SFDC",7,"Error Message",1,"Erro recebido de salesforce.com. Campos []. Código de status [CANNOT_EXECUTE_FLOW_TRIGGER]. Mensagem [Não é possível salvar esse registro porque o processo ""Builder para objeto Caso"" falhou. Forneça ao seu administrador do Salesforce estes detalhes. Esse erro ocorreu quando o fluxo tentou atualizar registros: DUPLICATE_VALUE: Maximum number of duplicate updates in one batch (12 allowed). Attempt to update Id more than once in this Api call: 0014x00000RMj25. Você pode consultar valores de ExceptionCode no Guia do desenvolvedor de API SOAP. ID do erro: 1554062982-2204 (-1937175102)es de ExceptionCode no Guia do desenvolvedor de API SOAP. ID do erro: 1554062982-2204 (-1937175102)]."""
"TASY_SFDC","2022-04-26 09:02:00","ENCAMINHAMENTO","Atendimento inexistente no SFDC",1,"Numero_Atendimento__r.HealthCloudGA__SourceSystemId__c",1,"462333raw_oracle_goc"
"TASY_SFDC","2022-04-26 09:02:00","ENCAMINHAMENTO","Conta Inexistente no SFDC",1,"Account.HealthCloudGA__SourceSystemId__c",1,""
